"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000457"	30.8433600221119	-0.126883489672215	0.11076043412992	-1.14556692260147	0.251974390186946	0.394584407021609
"ENSG00000000460"	90.6464280904047	0.10462127095037	0.102363087810765	1.02206052189222	0.306752256499018	0.456497120644096
"ENSG00000000938"	52.1447960760226	1.24392783027223	0.175023876878814	7.10718933013652	1.18429924598665e-12	3.98089269328414e-11
"ENSG00000001036"	9.33546780989245	-0.161994482890626	0.185245247118188	-0.874486581495248	0.38185332459224	0.533536488318324
"ENSG00000001084"	7.76662363979242	0.819345129268324	0.230731261246858	3.55107983565222	0.000383654021661925	0.00177715744270826
"ENSG00000001167"	5.16370407438162	0.109969874388735	0.261465240618884	0.420590798717407	0.674053913826988	0.786761071705628
"ENSG00000001460"	27.1097876563075	-0.62841243204347	0.138110008327614	-4.55008612086097	5.36239636692177e-06	4.04111343414744e-05
"ENSG00000001461"	4.51874550147408	-0.28764135616795	0.299455307588183	-0.960548532215431	0.336779217566904	0.486766728854744
"ENSG00000001497"	2.46279321523952	-0.125195241881616	0.318337350407137	-0.393278519537519	0.694113781629173	0.80130068169133
"ENSG00000001629"	4.48248479498436	0.0778151483504114	0.26272470091937	0.296185124878276	0.767088708103444	0.853584214655203
"ENSG00000001631"	13.2505561919986	-0.15660691363944	0.142583234129005	-1.09835433735321	0.272049793328319	0.417989910455229
"ENSG00000002016"	25.4464525635349	0.182001648601319	0.138869920914718	1.31059085655481	0.189996029994246	0.320170035156209
"ENSG00000002330"	10.2106606160211	0.367307382516865	0.163988875964962	2.23983108827055	0.0251018907858489	0.0636723132727549
"ENSG00000002549"	7.11090487734876	0.860983881896662	0.298764758325895	2.88181205414292	0.00395395499940811	0.0135078204305882
"ENSG00000002586"	11.5528700194867	-0.39505251205192	0.187014556635187	-2.11241584163181	0.0346507974116106	0.0833247945305447
"ENSG00000002587"	10.0616513159823	-0.140243360505202	0.249563009726815	-0.561955718753031	0.57414618948092	0.708371370297866
"ENSG00000002745"	8.34288692084736	-0.215132621479533	0.203086366327215	-1.05931592243326	0.289455925910168	0.437492313293382
"ENSG00000002822"	8.37698659656265	-0.349144326661528	0.199434225008505	-1.75067407134677	0.0800020681759968	0.163158590080452
"ENSG00000002834"	38.5186198375107	0.336970533253261	0.146486758124511	2.30034808311371	0.0214285076086044	0.0558503888341034
"ENSG00000002919"	20.9322526466287	-0.171196678696111	0.13020332467532	-1.31484106971165	0.188563321466663	0.318444828554001
"ENSG00000003056"	24.5023064155553	-0.305041942229923	0.116986697572346	-2.60749254881121	0.00912080555690188	0.0272767935760814
"ENSG00000003249"	2.67090859002143	0.223603232848378	0.284353063334445	0.786357742119293	0.431657932936019	0.582063419525174
"ENSG00000003400"	3.49921260181769	0.369269724669535	0.363917938514894	1.01470602459577	0.310245981451065	0.460597828321669
"ENSG00000003402"	114.165039408591	1.13635743276385	0.134236166438501	8.4653596933913	2.55363359655922e-17	2.81844741125753e-15
"ENSG00000003509"	48.8910909195698	-0.683786069344412	0.093731405690173	-7.29516499095992	2.98293308012179e-13	1.13618948326269e-11
"ENSG00000003756"	10.5749976496584	0.287438444403003	0.197666032365416	1.454162057908	0.145901381547407	0.261354589795528
"ENSG00000003987"	32.6373220936089	0.0500196899914696	0.14014633679978	0.356910434718891	0.721158857698267	0.821961596060872
"ENSG00000004059"	5.47911500630379	0.367783646687156	0.21619319478354	1.70118049763497	0.0889090988022797	0.177350055203011
"ENSG00000004139"	32.6731730965291	-0.293423439163238	0.129038390655416	-2.27392357943145	0.0229705817106306	0.0592378220155817
"ENSG00000004142"	9.36729409929977	0.229115613668891	0.169132999203415	1.35464761310911	0.175529855985754	0.301224533711107
"ENSG00000004399"	10.6474232021605	0.43014368360802	0.210431560922377	2.04410251828475	0.0409434204331186	0.0954915015326161
"ENSG00000004455"	6.26210563619406	0.0842221360233159	0.229290960005324	0.367315554094938	0.713383653274622	0.816418898428346
"ENSG00000004468"	2.81555965279848	-0.537530361528917	0.312470257368476	-1.72026088516656	0.085385030091975	0.171811938960553
"ENSG00000004478"	24.0756567890121	0.54258455426957	0.14869482742675	3.64898069192661	0.000263282889043567	0.00128318367723355
"ENSG00000004487"	42.1526486423159	-0.533691702834771	0.0925295327436892	-5.76779852885586	8.03137361072937e-09	1.15580866428741e-07
