"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000457"	30.8433600221119	0.113016893089408	0.11124806793424	1.01589982808702	0.309677090745944	0.462913915003294
"ENSG00000000460"	90.6464280904047	-0.151325746645496	0.102637866684309	-1.47436566575316	0.140383163609362	0.262764254360248
"ENSG00000000938"	52.1447960760226	-0.839325374221375	0.17436520111533	-4.81360597672366	1.48230935620087e-06	2.69006957726488e-05
"ENSG00000001036"	9.33546780989245	0.381498200072725	0.184306654336845	2.06991007158909	0.0384607666092684	0.100335858098291
"ENSG00000001084"	7.76662363979242	0.0877960217503982	0.222958055255795	0.393778200342085	0.693744800369034	0.798966466746591
"ENSG00000001167"	5.16370407438162	0.194324514211792	0.259298465422811	0.749424081222105	0.453601641060651	0.603868762726483
"ENSG00000001460"	27.1097876563075	0.617559549399974	0.138527016438374	4.45804410776944	8.2710885246298e-06	0.000112737658568582
"ENSG00000001461"	4.51874550147408	0.544889078608352	0.297971316653324	1.828662854963	0.0674501302849224	0.153183486099118
"ENSG00000001497"	2.46279321523952	0.517511582900134	0.313186933128163	1.65240477222706	0.0984520633447159	0.203210509778071
"ENSG00000001629"	4.48248479498436	0.0169791637727193	0.262779213769054	0.0646138007994865	0.94848149622391	0.970995116313946
"ENSG00000001631"	13.2505561919986	0.241154057189686	0.142668460608021	1.69031092199315	0.0909684866659511	0.191399771479531
"ENSG00000002016"	25.4464525635349	0.166360530017745	0.13785687963746	1.20676262552326	0.227523573305722	0.373005605500152
"ENSG00000002330"	10.2106606160211	-0.0869674498146183	0.16228031479152	-0.535908806476895	0.592021577811397	0.722099413172846
"ENSG00000002549"	7.11090487734876	-0.324766725494209	0.295170623089693	-1.10026777764914	0.271215467187988	0.421466430551445
"ENSG00000002586"	11.5528700194867	0.263319212742634	0.188505411860908	1.3968787959092	0.162450021964305	0.292869705192754
"ENSG00000002587"	10.0616513159823	0.429605769585095	0.248569762576465	1.72831065666299	0.0839325435121052	0.180386762098923
